id_doc 	page_pdf	page_book 	constr_type 	conjunction 	special_word 	meaning_Shvedova	meaning 	formula 	 formula_new 	year_first_using 	text_first_using 	year_last_using 	text_last_using 	other_examples	comments																				
73	56	112	уступительно-обобщительная	как ни	0	уступка	уступка	как ни VP|AdvP, clause	как ни VP|AdvP, clause	1733	Которых салдат преждние жилисча запустели или они в рекруты их владетелеми проданы и за чужие отчины отданы, тем если не в гарнизоны, то хотя как ни отставлены, давать волю, где жить похотят, тамо их и писать против вышеписанного. [В. Н. Татищев. Разсуждение о ревизии поголовной и касаюсчемся до оной ]	2015	Народная культура во всём своем разнообразии существовала гораздо раньше и, как ни странно, существует до сих пор. [Л. Ермолинская, C. М. Толстая. Этнолингвист Светлана Толстая: Нас обвиняли в том, что мы проповедуем религию]																						
74	56	112	уступительно-обобщительная	сколько ни	0	уступка	уступка	сколько ни VP, clause	сколько ни VP, clause	1745	Я токмо предлагаю то, что мн? кажется быть основательн?йшее и изв?стн?йшее, со всею искренностiю приличною честному челов?ку, которой пишучи о томъ не старается, чтобы показать разумъ свой и искусство, но токмо желаетъ сообщить просто все, сколько ни могъ онъ прiобр?сти просв?щеннаго познанiя, т?мъ, которые не размышляя ни о чемъ, и ничего не испытывая, недовольное им?ютъ знанiе о многихъ вещахъ, которыя в?дать имъ весьма потребно . [В. К. Тредиаковский. Истинная политика знатных и благородных особ [перевод книги Н. Ремона де Кура с французского]]	2015	С третьей, сколько ни искала, не смогла найти в себе Катерина то самое материнское чувство и стремление кого-то там вскармливать, воспитывать, а впоследствии ? поднимать. [Марина Зосимкина. Ты проснешься. Книга первая ]																						
75	56	112	уступительно-обобщительная	сколь ни	0	уступка	уступка	сколь ни VP, clause	сколь ни VP, clause	1757	"Но он так поступал; понеже был и есть Божия сила и Божия премудрость; а я есмь один из тех младенцев, за которых со исповеданием благодарит Ходатай мой Отцу своему: Исповедаюся тебе, Отче, Господи небесе и земли; яко утаил еси сия от премудрых и разумных, и открыл еси та младенцем Но и самыя Христовою верою открывшияся таинства, сколь ни высоки, сколь ни многопочтенны, сколь ни удивительны; токмо так своею наружностию не пышны, что они плотскому миру или безумием кажутся, или за сор вменяются, или, по крайней мере за такое чтолибо, которое их собственным понятиям не нравится.[архиепископ Платон (Левшин). Предисловие на учение катихизическое]"	2015	Среди всей этой обстановки, где и хозяева, сколь ни обживались, выглядели чужими, за одной из полуприкрытых дверей Вера мельком увидела стену его кабинета. [Александр Снегирев. Вера ]																						
76	30	61	изъяснительная	чтобы	0	пояснение	пояснение	clause, чтобы clause	clause, чтобы clause	1682	Саксонский курфирст под Темижбаром город осадил, войска оставил 12000 человек, а со всею силою с достальным войском цесарским, мосты построя через Дунай реку, пошел на ту сторону, чтобы их турского войска цесарскаго величества городов разорять не пропустить, и заступил бы им проход, и дать бы с ними с турками бой. [И. А. Желябужский. Дневные записки]	2016	[ProGorod, ?] Достаточно зайти на сайт, чтобы убедиться в этом. [коллективный. В Нижнем Новгороде откроется Федеральный электронный дискаунтер TechnoPoint]																						
77	30	61	изъяснительная	как	0	пояснение	пояснение	VP, как clause	VP, как clause	1682	крепости составными и воровскими и руки у тех крепостей лживить, и про такие крепости разыскивать и руки свидетельствовать дьякам и подьячим, которые сидят в приказах, а не площадными подьячими, против того, как по уложенью и по новоуказным статьям велено разыскивать по спорному челобитью про купчие, и про закладные, и про записки. [И. А. Желябужский. Дневные записки]	2015	Проповедь ? сначала на русском, потом на испанском ? о призыве Христа не думать о завтрашнем дне, смотреть на лилии полевые, и том, как понять это всем тем, кто оказался в Испании именно в поисках стабильного завтрашнего дня и заботах о том, как прокормить семью. [А. А. Данилова. Местность любви]																						
78	30	61	изъяснительная	как будто	0	сомнение	сомнение	clause, как будто clause	clause, как будто clause	1734	Они только одни умели сочинять толь чудесно, когда, чтоб изъявить разум свой, как будто б он был вне себя, прерывали с умысла последование своея речи и, дабы лучше войти в разум, выходили, буде позволено так сказать после Боало-Депрео, из самого разума, удаляясь с великим старанием от исправного порядка, который имел бы отнять всю соль, весь сок или, лучше, самую душу у лирическия поэзии . [В. К. Тредиаковский. Рассуждение об оде вообще (1734)]	2016	[Катерина Остапенко, nick] Герои как будто смотрят на тебя и…. вот-вот что-то скажут, заплачут, запоют… [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)]																						
79	31	62	изъяснительная	то	что	пояснение	пояснение	clause то, что clause	clause то, что clause	1682	А сперва он, великий государь, на царство не выбран для того, что очьми был скорбен. [И. А. Желябужский. Дневные записки]	2016	[Natalia Chaika, жен] Иначе то, что пишут дети в тетрадях, уже бывает не разобрать. [коллективный. Единый орфографический режим в начальной школе (2016)]																						
80	31	62	изъяснительная	что будто	0	сомнение	сомнение	clause, что будто clause	clause, что будто clause	1682	Да они ж, по его же, князь Ивановым, смутным словам, говорят, что будто отец его князь Иван и брат его князь Андрей казнены напрасно без розыска, и иные многие слова вмещают… а будучи на Москве, нам, великим государям, служили верно, и никаким прелестным словам не верить, и к ним в том не приставать, и во всем показуете к нам, великим государям, свою службу,и верность, и обыклое повиновение, и всякое послушание. [И. А. Желябужский. Дневные записки (1682-1709)]	2003	Опять было жарко. Казалось, что будто виделись вчера. Но как сдал, как постарел Георгий Иванов. [Вадим Крейд. Георгий Иванов в Йере // «Звезда», 2003]																						
81	31	62	изъяснительная	будто бы	0	сомнение	сомнение	clause, будто бы clause	clause, будто бы clause	1698	И потом шведы напали на поляков, и понеже полякам нарочно фалшиво внушали, будто бы саксонцы со шведами согласились к разорению их, и для того они скоро все врознь розбежались, и толко из них 60 человек побитых осталось. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)]	2015	Это доброе место, поэтому душа Вольдеморта там ? это карлик с как будто бы обожженной кожей, которому весьма приплохело. [иеромонах Димитрий (Першин), М. В. Строганова. Евангелие в мире волшебства: Гарри Поттер (2015.09.24)]																						
82	34	68	изъяснительная	что	0	пояснение	пояснение	clause, что clause	clause, что clause	1682	А сперва он, великий государь, на царство не выбран для того, что очьми был скорбен. [И. А. Желябужский. Дневные записки (1682-1709)]	2016	Наташа, вы пишите, что пейзажи вам напомнили Саврасова. [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)]																						
83	35	71	изъяснительная	разумеется	0	пояснение	пояснение	разумеется, clause	разумеется, clause	1715	И яко же о его величестве самом в оном артикуле помянуто, разумеется тако и о его величества цесарской супруге, и его государства наследии. [[Петр I]. Артикул воинский (1715)]	2015	Разумеется, Романовы и их слуги не были единственными невинно убиенными во время гражданской войны. [Н. Л. Холмогорова. Переименование «Войковской»: 12 аргументов против (2015.11.05)]																						
84	35	71	изъяснительная	разумеется	что	пояснение	пояснение	разумеется, что clause	разумеется, что clause	1726	Егда при единомъ челов?к? правлен?е д?лъ есть градскихъ, разум?ется что градъ тое хощетъ сотворити, еже оному челов?ку (о которомъ разум?емъ, что онъ здравое разсужден?е имать) угодно есть: А наипчае въ д?лахъ, къ польз? града надлежащихъ. [неизвестный [перевод трактата С. Пуфендорфа]. О должности человека и гражданина по закону естественному. Книга вторая (1726)]	2013	Сказанное не означает, разумеется, что работа группы Николетиса ? лженаука или фальсификация. [Борис Жуков. Замыкание мозгов, или Рукотворная телепатия // «Знание-сила», 2013]																						
85	36	73	изъяснительная	кажется	0	предположение	предположение	кажется, clause	кажется, clause	1720	И он от того весьма отрекся и сказал: «Я де кроме тебя ни х кому на исповедь не пойду потому, что я де и ныне всегда без ума и всех де боюся: кажется меня ловят и хотят мучить я де и тебя боюся». [епископ Питирим. Доношение нижегородскому вице-губернатору Ю. А. Ржевскому (1720)]	2016	[Ирина Гусева, nick] Мне кажется, его имя и его работы не подвергнутся забвению. [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)]	"Также здесь могут быть ""кажется, будто/будто бы"""																					
86	37	74	изъяснительная	кажется	что	предположение	предположение	кажется, что clause	кажется, что clause	1725	Воспомянеш некая, и кажется, что хотя много да только всего того, и се яко тучы находят другая. [архиепископ Феофан (Прокопович). Слово на похвалу блаженныя и вечнодостойныя памяти Петра Великаго (1725)	2015	Иногда кажется, что все зря, иногда впадаешь в отчаяние и хочется все бросить и сдаться, но потом приходит момент успокоения, момент тишины и гармонии. [А. А. Данилова. Местность любви (2015.11.09)]																						
87	37	75	изъяснительная	может быть	0	предположение	предположение	может быть, clause	может быть, clause	1682	"И то усмотря, повелел его светлость генерал князь Меншиков без потеряния времени обретающемуся под своею командою войску, которого не больше 9000 было, к неприятелю приближитися, и понеже оный от полоненников уведомился, что неприятели может быть на договор сдадутся; того ради он посылал к той сдаче их наговаривать и при том им объявить велел, чтоб они, рассудя, что все убежище и спасение у них пресечено , сдались, в противном же случае они не ожидали б себе квартиру или пощады, но все побиты будут. [И. А. Желябужский. Дневные записки (1682-1709)]"	2015	Может быть, этому содействовали антицерковные реформы Петра? [И. А. Забежинский. «Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!» (2015.11.07)]																						
88	37	75	изъяснительная	может быть	что	предположение	предположение	может быть, что clause	может быть, что clause	1698	Чего датчаня до скончания войны отнюдь не хотели (может быть, что лутче нас следующей потом обман знали), ежели б от нас к тому великим трудом не склонены были, в чем гановерцы сами могут свидетелствовать, ежели кто добрую совесть имеет. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)]	2014	? ничего еще не понимая, еще не веря, что так может быть, что она это не нарочно… что она не шутит, не придуривается, не издевается… [Дина Рубина. Русская канарейка. Блудный сын (2014)]																						
89	37	75	изъяснительная	видно	0	пояснение	пояснение	видно, clause	видно, clause	1723	И по тому видно: явная отговорка и нехотение ? бутто в три годы не имели они добраго пути к езде! [В. Н. Татищев. Письмо вятскому епископу Алексию (1723)]	2015	Если рассматривать древние кожаные книги, кое-где видно, как подчищали ошибки. [М. В. Строганова, И. Джабир. Каллиграфия — таблетка от дурного настроения (2015.10.28)]																						
90	37	75	изъяснительная	видно	что	пояснение	пояснение	видно, что clause	видно, что clause	1720	"А капитан оной человек, видно, что не без ума и трудолюбив; отчим его был при Фалюнских заводах бергмейстером. [В. Н. Татищев. Письмо Я. В. Брюсу (1720)"	2015	Видно, что они часто при этом решают какие-то общественно-политические задачи или групповые, но рекламы на них нет. [И. А. Забежинский. Если бы мы не смотрели, они бы не показывали (2015.10.05)]																						
91	38	76	изъяснительная	очевидно	0	пояснение	пояснение	очевидно, clause	очевидно, clause	1747	А буде он лесом торгует и много построек имеет, кто больше, кто меньше работников держит, для того должен он знать пятерное и обратие <Очевидно, описка, должно быть: обратное> тройное правило. [М. В. Ломоносов. Лифляндская экономия (перевод) (1747)]	2015	И потом, очевидно главное: если нет прибыли, то нет и налогов. [Александр Аничкин. Brent просит пощады // «Огонек», 2015]																						
92	38	76	изъяснительная	очевидно	что	пояснение	пояснение	очевидно, что clause	очевидно, что clause	1774	Допустим для примера существование не имеющаго мира и единства общества, очевидно, что гневный, увлеченный яростию человек лишил бы жизни кроткаго, более яростный и сильный мог бы истребить яростнаго, но менее сильнаго, одному для истребления подобных себе служило бы превосходство сил, другому превосходство ума с помощию оружия дало бы преимущество над силою. [Алексей Васильев. Слово на заключение мира России с Оттоманской Портою (1774)]	2015	Очевидно, что интеллигенция была далека от священника, не хотела вникнуть в его жизнь и помочь ему в его служении и жизни. [И. А. Забежинский. «Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!» (2015.11.07)]																						
93	38	77	изъяснительная	ясно	0	пояснение	пояснение	ясно, clause	ясно, clause	1868	ясно: это присутствие какого-то неслыханного учения, в силу которого к легальности нельзя прийти иначе, как путем упразднения той же легальности. [М. Е. Салтыков-Щедрин. Письма о провинции (1868-1870)]	2003	"Пока ясно одно: понятия ""организм"""" колония"""" индивид"""" группа"" не имеют чётких разграничений. [Кирилл Ефремов. Размышления у книжной полки: Бегство от одиночества // «Знание -- сила», 2003]"																						
94	38	77	изъяснительная	ясно	что	пояснение	пояснение	ясно, что clause	ясно, что clause	1717	По такїмъ доказателствамъ доволно ясно, что Богъ сеи доброд?тели требуетъ, и ему оная благоугодна. и кто тои подражаетъ, оныи им?етъ богатого благословенїя отъ Бога ожїдати, якоже святое пїсанїе исполнено такїми об?тованїями. [коллективный. Юности честное зерцало, или Показанїе къ жїтеискому обхожденїю (1717)]	2015	Если Волан де Морт в книге Роулинг превыше всего ставит просто жизнь, то для Гарри ясно, что прийти на помощь ? важнее, чем выжить. [иеромонах Димитрий (Першин). Волшебные миры в пространстве Евангелия (2015.08.26)]																						
95	38	77	изъяснительная	несомненно	0	пояснение	пояснение	несомненно, clause	несомненно, clause	1761	"Хотя запрещением неравного и насильного супружества, позволением четвертого и пятого брака, разрешением к супружеству вдовых попов и дьяконов и непозволением до указных лет принятия монашеского чина, несомненно, воспоследовать может знатное приумножение народа и не столько будет беззаконнорожденных, следовательно, и меньше детского душегубства; однако по разным случаям и по слабости человеческого сложения быть тому невозможно, чтобы непозволенным сластолюбием или насильством обремененная женщина, не хотя быть обесславлена, не искала бы способов утаить своего беззакония и несчастия, отчего иногда в отчаянии матери детей своих убивают. [М. В. Ломоносов. [О размножении и сохранении российского народа] (1761)]"																								
96	38	77	изъяснительная	несомненно	что	пояснение	пояснение	несомненно, что clause	несомненно, что clause	1748	И как мы надеемся, что наше нижайшее прошение справедливо, так и уповаем несомненно, что вашего сиятельства праведное изволение на то к совершенному нашему удовольствию воспоследует. [М. В. Ломоносов. Письмо К. Г. Разумовскому (1748)]	2014	Несомненно, что она сохранила актуальность и в наши дни. [Вадим Жотиков, Александр Максимычев. Петр Капица: малоизвестные страницы из жизни // «За науку», 2014]																						
97	38	77	изъяснительная	понятно	0	пояснение	пояснение	понятно, clause	понятно, clause	1856	Это великое слово. Впрочем, это понятно: вы молоды. Рудин произнес это последнее слово как-то странно: не то он завидовал Наталье, не то он сожалел о ней. [И. С. Тургенев. Рудин (1856)]	2014	Но этих средств, понятно, недостаточно ? капля в море: несмотря на выделенные ранее еще 120 млрд на выплату зарплат бюджетникам и 40 млрд рублей на детские сады, дефицит региональных бюджетов не ушел в прошлое, а лишь сократился почти в 3 раза (в прошлом году территориям не хватило 642 млрд рублей). [Светлана Сухова. Раздача вслепую // «Огонек», 2014]																						
98	38	77	изъяснительная	понятно	что	пояснение	пояснение	понятно, что clause	понятно, что clause	1780	"Ныне празднуемое нами воплощение Сына Божия есть непостижимо; но по крайней мере то понятно, что доказывает оно любовь Божию к нам, что толико снисходит он к человеческому роду, что толико печется о спасении нашем. [архиепископ Платон (Левшин). Слово на день благовещения (1780)]"	2015	Возможно, стоит поинтересоваться, может быть, даже осуществить какие-то усилия, чтобы получить более достоверную информацию о том, как он живет. Понятно, что надо всё взвешивать. Сами по себе картинки на странице в соцсети говорят ровно о том, о чем человек хочет, чтобы люди узнали. [Д. Менделеева, Ю. Ратанов. Психотерапевт: Что прячут счастливые аккаунты соцсетей? (2015.11.06)]	"Возможно с ""понятно, почему"""																					
99	38	77	изъяснительная	естественно	0	пояснение	пояснение	естественно, clause	естественно, clause	1787	"Когда я к Д[митрию] И[вановичу] пишу благословение Божие с домашними или подобное, ты, естественно, тут же разумеешься; следственно, в особливой и дальней нужды нет: по таким письмам ты ведаешь, как я здоров; неужлито Д[митрий] И[ванович] так редко к тебе пишет? [А. В. Суворов. Письма (1787-1800)"	2015	Естественно, у Москвы и Пекина на внешнеполитическом фронте не все так гладко. [коллективный. Огненные объятия Дракона // «Эксперт», 2015]																						
100	38	77	изъяснительная	естественно	что	пояснение	пояснение	естественно, что clause	естественно, что clause	1779	"Если свободно всякому мыслить и мысли свои объявлять всем беспрекословно, то естественно, что все, что будет придумано, изобретено, то будет известно; великое будет велико, истина не затмится. [А. Н. Радищев. Путешествие из Петербурга в Москву (1779-1790)]"	2015	[morgunof, муж] Естественно, что к ежегодному отчету мера Нижнего Новгорода, Олега Сорокина, который он делал 18 марта, было привлечено огромное внимание не только прессы, а и общественности города. [неизвестный. Олег Сорокин -- мер Нижнего Новгорода и его отчет за 2014 год (2015.03.25)																						
101	37	74	изъяснительная	само собой	0	пояснение	пояснение	само собой, clause	само собой, clause	0	0	0	0																						
102	37	74	изъяснительная	само собой	что	пояснение	пояснение	само собой, что clause	само собой, что clause	0	0	0	0																						
103	37	75	изъяснительная	быть может	0	предположение	предположение	быть может, clause	быть может, clause	1736	Из этого мне больше всего нужно то, что, быть может, написал капитан Беринг и профессора Академии, особенно же то, что относится к широте и долготе мест, а также к различным народам. [В. Н. Татищев. Письмо И. Д. Шумахеру (1736)]	2013	Поэтому, быть может, уже никто не помнит, почему робота назвали именно Гретой. [А. Петров. Курьеры «ЮТ». Мы -- чемпионы по «ладушкам»! // Юный техник, 2013]																						
104	37	75	изъяснительная	быть может	что	предположение	предположение	быть может, что clause	быть может, что clause	1763	2) Что потомъ учинилася губерніею, и главныхъ командировъ трудами, а паче Его Высокопревосходительства д?йствительнаго Тайнаго Сов?тника и Кавалера, Ивана Ивановича Неклюдова, оная Губернія до толь высокой степени достигла, что въ приращеніи интересовъ великіе казенные капиталы получила, а имянно въ зборе таможенныхъ пошлинъ и въ вымен? золота и серебра*, и потону всякому за в?роятное быть можетъ, что едваль кром? Сибирской изо вс?хъ губерній въ приращеніи интересовъ съ нею сравниться можетъ. [Ф. И. Соймонов. Описание Каспийского моря (1763)]	2008	Что порой юнец принимал ошибки переписчиков за мнение самого Пергамца да ещё, быть может, что Гален временами в разных книгах противоречил сам себе. [Святослав Логинов. Драгоценнее многих (медицинские хроники) // «Наука и жизнь», 2008]																						
105	37	75	изъяснительная	должно быть	0	предположение	предположение	должно быть, clause	должно быть, clause	1761	"Пена текла у него из роту, и сам сатана принужден было бежать был тогда назад; однако со всем тем, по прошествии первого жару, начали рассуждать точнее о пользе сего перемирия и определили следующее: хотя и невозможно заключить мир между суеверием и неверием, однако для новых своих неприятелей благочестия и философии должно быть, конечно, перемирию. [Д. И. Фонвизин. Перемирие между суеверием и неверием [перевод басни Л. Хольберга с немецкого] (1761-1765)]"	2013	«3-С»: Что в теоретическом, ценностном наследии XX века должно быть, по-вашему, преодолено, а что, наоборот, сохранено и развито? [Ольга Балла, Сергей Оробий. В поисках новой цельности // «Знание-сила», 2013]																						
106	37	75	изъяснительная	должно быть	что	предположение	предположение	должно быть, что clause	должно быть, что clause	1764	Ежели оныя приняты будутъ за справедливыя, то должно будетъ думать, что небесныя т?ла подвержены со вс?мъ особливымъ законамъ, коимъ они въ своемъ движеніи посл?дуютъ, нежели вс? другія изв?стныя т?ла. [А. М. Разумов (перевод трактата В. Крафта с немецкого). Руководство къ Математической и Физической Географіи (1764)]	2002	"Учитывая столь непривлекательное прошлое, вы, должно быть, думаете, что москвичи будут рады наконец вырвать ""гнилой зуб"". [Они о нас // «Коммерсантъ-Власть», 2002]"																						
107	37	75	изъяснительная	вероятно	0	предположение	предположение	вероятно, clause	вероятно, clause	1735	И по оным обстоятельствам вероятно: ежели заводы построить, то железа, по препорции работников протчих казенных заводов, более до 30 и дешевле, по малой мере, до 15 процентов зделать можно. [В. Н. Татищев. Ведение в канцелярию главного правления сибирских и казанских заводов о построении и содержании заводов на Кушве и Туре (1735)]	2015	Если бы «Покаяние» посмотрели в пиратской версии, вероятно, реакция на него была бы иной. [Андрей Архангельский. Есть над чем не подумать // «Огонек», 2015]																						
108	37	75	изъяснительная	вероятно	что	предположение	предположение	вероятно, что clause	вероятно, что clause	1733	Сие в Европе начало свое возимело не прежде 1440 лет по Христе, и вероятно, что перенесено от китайцов, ибо первое тиснение было досками ж, но потом чрез искусных людей со временем переменено и в лучшее состояние приведено. [В. Н. Татищев. Разговор дву приятелей о пользе науки и училищах (1733)]	2015	Маврос, увидев всю эту ужасную резню, решил, вероятно, что и его ждет та же участь, и в панике бежал из дома… [Дина Рубина. Медная шкатулка (сборник) (2015)]																						
109	39	78	изъяснительная	правда	0	пояснение	пояснение	правда, что clause	правда, что clause	1698	Правда, сия победа в то время зело была печално чювственная, и яко отчаянна всякия впредь надежды, и за великий гнев божий почитали. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)	2016	[Елена Роспись в подарок, nick] Что меня удивляет ? Сафонова знают все, хотя картины весьма однотипные (имхо), а вот про таких, не менее талантливых узнаешь случайно. Правда, запоминаются они с первого раза. Спасибо за рассказ. [коллективный. «Разрешите представить: гениальный художник Ирик Мусин и его бесконечно искренние работы». Обсуждение статьи (2016)]																						
110	39	78	изъяснительная	правда	что	пояснение	пояснение	правда, что clause	правда, что clause	1698	Правда, что тогда немалая опасность была, ибо войска росийские, будучие в Гродне, имели тогда зело мало при себе правианту, к тому ж конные полки были в розни, толко при главном пехотном корпусе было в Гродне конных два полка, а досталные были з генералом-лейтенантом Реном от Гродни милях в 10 и в 12, а иные и дале. [А. М. Макаров (ред.). Гистория Свейской войны (Поденная записка Петра Великого) (1698-1721)]	2015	Потом разобрались, правда, что их трубы тут не при чем, а ремонтировать-то все равно надо, вот и решили цементом по-быстрому нашлепать. [Марина Зосимкина. Ты проснешься. Книга первая (2015)]																						
111	39	78	изъяснительная	правда	однако	пояснение	пояснение	правда, однако clause	правда, однако clause	1750	Это правда, однако немного получше можно бы было написать. [А. П. Сумароков. Чудовищи (1750)]	2008	Правда, однако, состоит в том, что все тогда были недовольны существующим положением вещей. [Олег Зайончковский. Счастье возможно: роман нашего времени (2008)]																						
112	39	78	изъяснительная	правда	тем не менее	пояснение	пояснение	правда, тем не менее clause	правда, тем не менее clause	0	0	0	0																						
113	40	80	изъяснительная	жаль	0	оценка	оценка	жаль, clause	жаль, clause	1718	Жаль вельми, яко времена оная, малоискусная в деле книжном и неприлежная ко историам, не оставиша нам пространной о нем повести, а имели бы мы, надеюся, много полезнаго учения. [архиепископ Феофан (Прокопович). Слово в день Святаго Благовернаго князя Александра Невскаго (1718)]	2015	Очень жаль: это была фигура удивительная, из тех, кого называют харизматической личностью. [Дина Рубина. Медная шкатулка (сборник) (2015)]																						
114	40	80	изъяснительная	жаль	что	оценка	оценка	жаль, что clause	жаль, что clause	1750	Жаль, что ушли мои лета и что в то время, как я был в поре, у нас еще ничего этого не знали. [А. П. Сумароков. Чудовищи (1750)]	2015	Жаль, что бывать здесь ей удается нечасто. [Марина Зосимкина. Ты проснешься. Книга первая (2015)]																						
115	40	80	изъяснительная	жаль	если	оценка	оценка	жаль, если clause	жаль, если clause	1789	"С ужасом ожидал я следствий богининой забавы; ибо, признаться, хотя я и морской житель, но люблю людей, несмотря на их дурачества, и мне очень было жаль, если два или три кита, побежденные Фетидою, будут стоить жизни, может быть, нескольких тысяч добродетельных человеков, по необходимости вдавшихся морским водам, которые, конечно, того не ожидали, чтоб пустое желание Нептуновой супруги ввергло их в такие опасности. [И. А. Крылов. Почта Духов, или Ученая, нравственная и критическая переписка арабского философа Маликульмулька с водяными, воздушными и подземными духами (1789)]"	2012	Жаль, если так, красивая история, настоящая оптимистическая трагедия, возвращающая веру. [Иван Давыдов. Наши и немцы // «Русская жизнь», 2012]																						
